weight_scale,sigma,R_effective,mode,mode_variant,n_effective,phase_label,success_rate,avg_rcp
1.0,0.0,3,wbit,wbit,1,good,1.00,396.0
1.0,0.1,3,wbit,wbit,1,good,1.00,396.0
1.0,0.2,3,wbit,wbit,1,good,1.00,396.0
1.0,0.3,3,wbit,wbit,1,good,1.00,395.3
1.0,0.4,3,wbit,wbit,1,good,1.00,395.3
1.0,0.5,3,wbit,wbit,1,good,1.00,394.6
1.0,0.6,3,wbit,wbit,1,good,1.00,394.6
1.0,0.7,3,wbit,wbit,1,good,1.00,391.7
1.0,0.8,3,wbit,wbit,1,good,1.00,396.0
1.0,0.9,3,wbit,wbit,1,good,1.00,398.9
1.0,1.0,3,wbit,wbit,1,good,1.00,393.8
1.0,1.1,3,wbit,wbit,1,good,1.00,408.2
1.0,1.2,3,wbit,wbit,1,good,1.00,407.5
1.0,1.3,3,wbit,wbit,1,good,1.00,439.9
1.0,1.4,3,wbit,wbit,1,good,1.00,434.9
1.0,1.5,3,wbit,wbit,1,good,1.00,483.1
1.0,1.6,3,wbit,wbit,1,good,1.00,550.8
1.0,1.7,3,wbit,wbit,1,good,1.00,596.2
1.0,1.8,3,wbit,wbit,1,good,1.00,540.7
1.0,1.9,3,wbit,wbit,1,good,0.98,655.2
1.0,2.0,3,wbit,wbit,1,good,1.00,688.3
0.5,0.0,3,wbit,wbit,1,good,1.00,396.0
0.5,0.1,3,wbit,wbit,1,good,1.00,396.0
0.5,0.2,3,wbit,wbit,1,good,1.00,396.0
0.5,0.3,3,wbit,wbit,1,good,1.00,396.0
0.5,0.4,3,wbit,wbit,1,good,1.00,406.1
0.5,0.5,3,wbit,wbit,1,good,1.00,418.3
0.5,0.6,3,wbit,wbit,1,good,1.00,468.0
0.5,0.7,3,wbit,wbit,1,good,1.00,539.3
0.5,0.8,3,wbit,wbit,1,good,1.00,601.2
0.5,0.9,3,wbit,wbit,1,good,1.00,728.6
0.5,1.0,3,wbit,wbit,1,good,1.00,1000.8
0.5,1.1,3,wbit,wbit,1,good,0.92,1129.7
0.5,1.2,3,wbit,wbit,1,edge,0.80,1225.4
0.5,1.3,3,wbit,wbit,1,edge,0.68,1386.7
0.5,1.4,3,wbit,wbit,1,edge,0.74,1356.5
0.5,1.5,3,wbit,wbit,1,edge,0.66,1517.8
0.5,1.6,3,wbit,wbit,1,edge,0.56,1568.2
0.5,1.7,3,wbit,wbit,1,edge,0.54,1612.1
0.5,1.8,3,wbit,wbit,1,edge,0.54,1687.7
0.5,1.9,3,wbit,wbit,1,edge,0.38,1709.3
0.5,2.0,3,wbit,wbit,1,edge,0.38,1717.2
0.2,0.0,3,wbit,wbit,1,good,1.00,427.7
0.2,0.1,3,wbit,wbit,1,good,1.00,1064.9
0.2,0.2,3,wbit,wbit,1,good,0.94,1537.9
0.2,0.3,3,wbit,wbit,1,edge,0.82,1689.8
0.2,0.4,3,wbit,wbit,1,edge,0.66,1766.9
0.2,0.5,3,wbit,wbit,1,edge,0.42,1725.8
0.2,0.6,3,wbit,wbit,1,edge,0.46,1768.3
0.2,0.7,3,wbit,wbit,1,edge,0.18,1781.3
0.2,0.8,3,wbit,wbit,1,edge,0.26,1789.9
0.2,0.9,3,wbit,wbit,1,edge,0.20,1800.0
0.2,1.0,3,wbit,wbit,1,edge,0.18,1752.5
0.2,1.1,3,wbit,wbit,1,edge,0.10,1800.0
0.2,1.2,3,wbit,wbit,1,edge,0.10,1800.0
0.2,1.3,3,wbit,wbit,1,fail,0.08,1800.0
0.2,1.4,3,wbit,wbit,1,fail,0.08,1800.0
0.2,1.5,3,wbit,wbit,1,fail,0.06,1800.0
0.2,1.6,3,wbit,wbit,1,fail,0.04,1800.0
0.2,1.7,3,wbit,wbit,1,fail,0.04,1800.0
0.2,1.8,3,wbit,wbit,1,fail,0.02,1800.0
0.2,1.9,3,wbit,wbit,1,fail,0.04,1800.0
0.2,2.0,3,wbit,wbit,1,fail,0.02,1800.0
0.1,0.0,3,wbit,wbit,1,fail,0.00,432.0
0.1,0.1,3,wbit,wbit,1,fail,0.08,1764.0
0.1,0.2,3,wbit,wbit,1,fail,0.06,1800.0
0.1,0.3,3,wbit,wbit,1,edge,0.14,1800.0
0.1,0.4,3,wbit,wbit,1,fail,0.02,1800.0
0.1,0.5,3,wbit,wbit,1,fail,0.06,1800.0
0.1,0.6,3,wbit,wbit,1,fail,0.06,1800.0
0.1,0.7,3,wbit,wbit,1,fail,0.06,1800.0
0.1,0.8,3,wbit,wbit,1,fail,0.00,1800.0
0.1,0.9,3,wbit,wbit,1,fail,0.02,1800.0
0.1,1.0,3,wbit,wbit,1,fail,0.02,1800.0
0.1,1.1,3,wbit,wbit,1,fail,0.02,1800.0
0.1,1.2,3,wbit,wbit,1,fail,0.00,1800.0
0.1,1.3,3,wbit,wbit,1,fail,0.00,1800.0
0.1,1.4,3,wbit,wbit,1,fail,0.00,1800.0
0.1,1.5,3,wbit,wbit,1,fail,0.00,1800.0
0.1,1.6,3,wbit,wbit,1,fail,0.02,1800.0
0.1,1.7,3,wbit,wbit,1,fail,0.00,1800.0
0.1,1.8,3,wbit,wbit,1,fail,0.00,1800.0
0.1,1.9,3,wbit,wbit,1,fail,0.04,1800.0
0.1,2.0,3,wbit,wbit,1,fail,0.00,1800.0
0.05,0.0,3,wbit,wbit,1,fail,0.00,432.0
0.05,0.1,3,wbit,wbit,1,fail,0.00,1800.0
0.05,0.2,3,wbit,wbit,1,fail,0.00,1800.0
0.05,0.3,3,wbit,wbit,1,fail,0.02,1800.0
0.05,0.4,3,wbit,wbit,1,fail,0.00,1800.0
0.05,0.5,3,wbit,wbit,1,fail,0.00,1800.0
0.05,0.6,3,wbit,wbit,1,fail,0.00,1800.0
0.05,0.7,3,wbit,wbit,1,fail,0.00,1800.0
0.05,0.8,3,wbit,wbit,1,fail,0.00,1800.0
0.05,0.9,3,wbit,wbit,1,fail,0.00,1800.0
0.05,1.0,3,wbit,wbit,1,fail,0.00,1800.0
0.05,1.1,3,wbit,wbit,1,fail,0.00,1800.0
0.05,1.2,3,wbit,wbit,1,fail,0.00,1800.0
0.05,1.3,3,wbit,wbit,1,fail,0.00,1800.0
0.05,1.4,3,wbit,wbit,1,fail,0.00,1800.0
0.05,1.5,3,wbit,wbit,1,fail,0.00,1800.0
0.05,1.6,3,wbit,wbit,1,fail,0.00,1800.0
0.05,1.7,3,wbit,wbit,1,fail,0.00,1800.0
0.05,1.8,3,wbit,wbit,1,fail,0.00,1800.0
0.05,1.9,3,wbit,wbit,1,fail,0.00,1800.0
0.05,2.0,3,wbit,wbit,1,fail,0.00,1800.0
