weight_scale,sigma,trials,success_rate,avg_steps,avg_rcp,avg_final_conf,R,T,max_steps,mode_variant,n_effective,R_effective
1.0,0.0,50,1.00,11.0,396.0,0.999,3,0.2,50,wbit,1,3
1.0,0.1,50,1.00,11.0,396.0,0.999,3,0.2,50,wbit,1,3
1.0,0.2,50,1.00,11.0,396.0,0.999,3,0.2,50,wbit,1,3
1.0,0.3,50,1.00,11.0,395.3,0.999,3,0.2,50,wbit,1,3
1.0,0.4,50,1.00,11.0,395.3,0.999,3,0.2,50,wbit,1,3
1.0,0.5,50,1.00,11.0,394.6,0.999,3,0.2,50,wbit,1,3
1.0,0.6,50,1.00,11.0,394.6,0.999,3,0.2,50,wbit,1,3
1.0,0.7,50,1.00,10.9,391.7,0.999,3,0.2,50,wbit,1,3
1.0,0.8,50,1.00,11.0,396.0,0.999,3,0.2,50,wbit,1,3
1.0,0.9,50,1.00,11.1,398.9,0.999,3,0.2,50,wbit,1,3
1.0,1.0,50,1.00,10.9,393.8,0.999,3,0.2,50,wbit,1,3
1.0,1.1,50,1.00,11.3,408.2,0.999,3,0.2,50,wbit,1,3
1.0,1.2,50,1.00,11.3,407.5,0.999,3,0.2,50,wbit,1,3
1.0,1.3,50,1.00,12.2,439.9,0.999,3,0.2,50,wbit,1,3
1.0,1.4,50,1.00,12.1,434.9,0.999,3,0.2,50,wbit,1,3
1.0,1.5,50,1.00,13.4,483.1,0.999,3,0.2,50,wbit,1,3
1.0,1.6,50,1.00,15.3,550.8,0.999,3,0.2,50,wbit,1,3
1.0,1.7,50,1.00,16.6,596.2,0.999,3,0.2,50,wbit,1,3
1.0,1.8,50,1.00,15.0,540.7,0.999,3,0.2,50,wbit,1,3
1.0,1.9,50,0.98,18.2,655.2,0.995,3,0.2,50,wbit,1,3
1.0,2.0,50,1.00,19.1,688.3,0.999,3,0.2,50,wbit,1,3
0.5,0.0,50,1.00,11.0,396.0,0.999,3,0.2,50,wbit,1,3
0.5,0.1,50,1.00,11.0,396.0,0.999,3,0.2,50,wbit,1,3
0.5,0.2,50,1.00,11.0,396.0,0.999,3,0.2,50,wbit,1,3
0.5,0.3,50,1.00,11.0,396.0,0.999,3,0.2,50,wbit,1,3
0.5,0.4,50,1.00,11.3,406.1,0.999,3,0.2,50,wbit,1,3
0.5,0.5,50,1.00,11.6,418.3,0.999,3,0.2,50,wbit,1,3
0.5,0.6,50,1.00,13.0,468.0,0.999,3,0.2,50,wbit,1,3
0.5,0.7,50,1.00,15.0,539.3,0.999,3,0.2,50,wbit,1,3
0.5,0.8,50,1.00,16.7,601.2,0.999,3,0.2,50,wbit,1,3
0.5,0.9,50,1.00,20.2,728.6,0.999,3,0.2,50,wbit,1,3
0.5,1.0,50,1.00,27.8,1000.8,0.998,3,0.2,50,wbit,1,3
0.5,1.1,50,0.92,31.4,1129.7,0.982,3,0.2,50,wbit,1,3
0.5,1.2,50,0.80,34.0,1225.4,0.937,3,0.2,50,wbit,1,3
0.5,1.3,50,0.68,38.5,1386.7,0.914,3,0.2,50,wbit,1,3
0.5,1.4,50,0.74,37.7,1356.5,0.903,3,0.2,50,wbit,1,3
0.5,1.5,50,0.66,42.2,1517.8,0.885,3,0.2,50,wbit,1,3
0.5,1.6,50,0.56,43.6,1568.2,0.875,3,0.2,50,wbit,1,3
0.5,1.7,50,0.54,44.8,1612.1,0.849,3,0.2,50,wbit,1,3
0.5,1.8,50,0.54,46.9,1687.7,0.832,3,0.2,50,wbit,1,3
0.5,1.9,50,0.38,47.5,1709.3,0.784,3,0.2,50,wbit,1,3
0.5,2.0,50,0.38,47.7,1717.2,0.783,3,0.2,50,wbit,1,3
0.2,0.0,50,1.00,11.9,427.7,0.986,3,0.2,50,wbit,1,3
0.2,0.1,50,1.00,29.6,1064.9,0.986,3,0.2,50,wbit,1,3
0.2,0.2,50,0.94,42.7,1537.9,0.968,3,0.2,50,wbit,1,3
0.2,0.3,50,0.82,46.9,1689.8,0.938,3,0.2,50,wbit,1,3
0.2,0.4,50,0.66,49.1,1766.9,0.900,3,0.2,50,wbit,1,3
0.2,0.5,50,0.42,47.9,1725.8,0.856,3,0.2,50,wbit,1,3
0.2,0.6,50,0.46,49.1,1768.3,0.816,3,0.2,50,wbit,1,3
0.2,0.7,50,0.18,49.5,1781.3,0.702,3,0.2,50,wbit,1,3
0.2,0.8,50,0.26,49.7,1789.9,0.729,3,0.2,50,wbit,1,3
0.2,0.9,50,0.20,50.0,1800.0,0.732,3,0.2,50,wbit,1,3
0.2,1.0,50,0.18,48.7,1752.5,0.689,3,0.2,50,wbit,1,3
0.2,1.1,50,0.10,50.0,1800.0,0.679,3,0.2,50,wbit,1,3
0.2,1.2,50,0.10,50.0,1800.0,0.648,3,0.2,50,wbit,1,3
0.2,1.3,50,0.08,50.0,1800.0,0.684,3,0.2,50,wbit,1,3
0.2,1.4,50,0.08,50.0,1800.0,0.654,3,0.2,50,wbit,1,3
0.2,1.5,50,0.06,50.0,1800.0,0.644,3,0.2,50,wbit,1,3
0.2,1.6,50,0.04,50.0,1800.0,0.637,3,0.2,50,wbit,1,3
0.2,1.7,50,0.04,50.0,1800.0,0.645,3,0.2,50,wbit,1,3
0.2,1.8,50,0.02,50.0,1800.0,0.634,3,0.2,50,wbit,1,3
0.2,1.9,50,0.04,50.0,1800.0,0.639,3,0.2,50,wbit,1,3
0.2,2.0,50,0.02,50.0,1800.0,0.633,3,0.2,50,wbit,1,3
0.1,0.0,50,0.00,12.0,432.0,0.858,3,0.2,50,wbit,1,3
0.1,0.1,50,0.08,49.0,1764.0,0.835,3,0.2,50,wbit,1,3
0.1,0.2,50,0.06,50.0,1800.0,0.760,3,0.2,50,wbit,1,3
0.1,0.3,50,0.14,50.0,1800.0,0.724,3,0.2,50,wbit,1,3
0.1,0.4,50,0.02,50.0,1800.0,0.663,3,0.2,50,wbit,1,3
0.1,0.5,50,0.06,50.0,1800.0,0.677,3,0.2,50,wbit,1,3
0.1,0.6,50,0.06,50.0,1800.0,0.623,3,0.2,50,wbit,1,3
0.1,0.7,50,0.06,50.0,1800.0,0.628,3,0.2,50,wbit,1,3
0.1,0.8,50,0.00,50.0,1800.0,0.604,3,0.2,50,wbit,1,3
0.1,0.9,50,0.02,50.0,1800.0,0.628,3,0.2,50,wbit,1,3
0.1,1.0,50,0.02,50.0,1800.0,0.644,3,0.2,50,wbit,1,3
0.1,1.1,50,0.02,50.0,1800.0,0.606,3,0.2,50,wbit,1,3
0.1,1.2,50,0.00,50.0,1800.0,0.602,3,0.2,50,wbit,1,3
0.1,1.3,50,0.00,50.0,1800.0,0.587,3,0.2,50,wbit,1,3
0.1,1.4,50,0.00,50.0,1800.0,0.603,3,0.2,50,wbit,1,3
0.1,1.5,50,0.00,50.0,1800.0,0.588,3,0.2,50,wbit,1,3
0.1,1.6,50,0.02,50.0,1800.0,0.587,3,0.2,50,wbit,1,3
0.1,1.7,50,0.00,50.0,1800.0,0.585,3,0.2,50,wbit,1,3
0.1,1.8,50,0.00,50.0,1800.0,0.568,3,0.2,50,wbit,1,3
0.1,1.9,50,0.04,50.0,1800.0,0.594,3,0.2,50,wbit,1,3
0.1,2.0,50,0.00,50.0,1800.0,0.567,3,0.2,50,wbit,1,3
0.05,0.0,50,0.00,12.0,432.0,0.635,3,0.2,50,wbit,1,3
0.05,0.1,50,0.00,50.0,1800.0,0.629,3,0.2,50,wbit,1,3
