trial,trial_seed,H,success,epochs,final_mse,inference_rcp,active_cells,R,population,elite_k,restarts,allow_direct_ab_to_y,best_search_mse,best_acc,max_epochs,mode,mode_variant,n_effective,R_effective
0,42,0,0,1000,0.4990,111.00,3,2,30,6,4,True,0.4990,0.75,1000,wbit,wbit,1,2
1,43,0,0,1000,0.4990,114.00,3,2,30,6,4,True,0.4990,0.75,1000,wbit,wbit,1,2
2,44,0,0,1000,0.4990,108.00,3,2,30,6,4,True,0.4990,0.75,1000,wbit,wbit,1,2
3,45,0,0,1000,0.4990,111.00,3,2,30,6,4,True,0.4990,0.75,1000,wbit,wbit,1,2
4,46,0,0,1000,0.4990,108.00,3,2,30,6,4,True,0.4990,0.75,1000,wbit,wbit,1,2
5,47,0,0,1000,0.4990,111.00,3,2,30,6,4,True,0.4990,0.75,1000,wbit,wbit,1,2
0,1042,1,1,7,0.0003,160.00,4,2,30,6,4,True,0.0003,1.00,1000,wbit,wbit,1,2
1,1043,1,1,8,0.0032,180.00,4,2,30,6,4,True,0.0032,1.00,1000,wbit,wbit,1,2
2,1044,1,1,6,0.0166,220.00,4,2,30,6,4,True,0.0166,1.00,1000,wbit,wbit,1,2
3,1045,1,1,71,0.0000,180.00,4,2,30,6,4,True,0.0000,1.00,1000,wbit,wbit,1,2
4,1046,1,1,8,0.0189,188.00,4,2,30,6,4,True,0.0189,1.00,1000,wbit,wbit,1,2
5,1047,1,1,9,0.0000,176.00,4,2,30,6,4,True,0.0000,1.00,1000,wbit,wbit,1,2
0,2042,2,1,4,0.0112,240.00,5,2,30,6,4,True,0.0112,1.00,1000,wbit,wbit,1,2
1,2043,2,1,6,0.0004,235.00,5,2,30,6,4,True,0.0004,1.00,1000,wbit,wbit,1,2
2,2044,2,1,15,0.0000,235.00,5,2,30,6,4,True,0.0000,1.00,1000,wbit,wbit,1,2
3,2045,2,1,8,0.0000,210.00,5,2,30,6,4,True,0.0000,1.00,1000,wbit,wbit,1,2
4,2046,2,1,13,0.0141,235.00,5,2,30,6,4,True,0.0141,1.00,1000,wbit,wbit,1,2
5,2047,2,1,10,0.0082,255.00,5,2,30,6,4,True,0.0082,1.00,1000,wbit,wbit,1,2
0,4042,4,1,3,0.0041,322.00,7,2,30,6,4,True,0.0041,1.00,1000,wbit,wbit,1,2
1,4043,4,1,10,0.0085,322.00,7,2,30,6,4,True,0.0085,1.00,1000,wbit,wbit,1,2
2,4044,4,1,4,0.0102,336.00,7,2,30,6,4,True,0.0102,1.00,1000,wbit,wbit,1,2
3,4045,4,1,2,0.0144,392.00,7,2,30,6,4,True,0.0144,1.00,1000,wbit,wbit,1,2
4,4046,4,1,4,0.0001,336.00,7,2,30,6,4,True,0.0001,1.00,1000,wbit,wbit,1,2
5,4047,4,1,1,0.0000,350.00,7,2,30,6,4,True,0.0000,1.00,1000,wbit,wbit,1,2
