experiment,layout,grid,obstacle_density,sigma,weight_scale,H,direct_conn,success_rate,avg_rcp,avg_rcp_success,R,R_effective,T,active_cells,avg_conf_success,avg_final_conf,avg_sat_count_success,avg_steps,avg_steps_success,conditional_success,feasible_rate,final_confidence,max_steps,mean_best_acc,mean_best_mse,mean_detour_success,mean_path_success,mode,mode_variant,n_effective,rcp,snr,steps,success,trial,trial_seed,trials
A,random,10,0.1,0.1,,,,,,22500.0,5,,0.2,,0.6774307625974457,,0.0,,50,1.0,1.0,,,,,1.0,18,,,,,,,,,,100
A,random,10,0.2,0.1,,,,,,22500.0,5,,0.2,,0.7252765270927476,,0.0,,50,1.0,1.0,,,,,1.0,18,,,,,,,,,,100
A,random,10,0.3,0.1,,,,,,22850.0,5,,0.2,,0.8544293487034061,,0.0,,50,1.0,1.0,,,,,1.0,18.28,,,,,,,,,,100
B,,,,0.0,1.0,,,1.00,396.0,,3,3,0.2,,,0.999,,11.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.1,1.0,,,1.00,396.0,,3,3,0.2,,,0.999,,11.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.2,1.0,,,1.00,396.0,,3,3,0.2,,,0.999,,11.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.3,1.0,,,1.00,395.3,,3,3,0.2,,,0.999,,11.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.4,1.0,,,1.00,395.3,,3,3,0.2,,,0.999,,11.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.5,1.0,,,1.00,394.6,,3,3,0.2,,,0.999,,11.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.6,1.0,,,1.00,394.6,,3,3,0.2,,,0.999,,11.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.7,1.0,,,1.00,391.7,,3,3,0.2,,,0.999,,10.9,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.8,1.0,,,1.00,396.0,,3,3,0.2,,,0.999,,11.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.9,1.0,,,1.00,398.9,,3,3,0.2,,,0.999,,11.1,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.0,1.0,,,1.00,393.8,,3,3,0.2,,,0.999,,10.9,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.1,1.0,,,1.00,408.2,,3,3,0.2,,,0.999,,11.3,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.2,1.0,,,1.00,407.5,,3,3,0.2,,,0.999,,11.3,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.3,1.0,,,1.00,439.9,,3,3,0.2,,,0.999,,12.2,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.4,1.0,,,1.00,434.9,,3,3,0.2,,,0.999,,12.1,,,,,50,,,,,,wbit,1,,,,,,,50
