trial,base_seed,map_seed,noise_seed,layout,obstacle_density,sigma,grid,R,T,success,feasible,path_exists,penalty_used,steps,final_confidence,rcp,optimal_dist,active_cells,path_len,detour_ratio,n_obstacles,map_hash,mode,mode_variant,n_effective,R_effective
0,42,422,1422,random,0.38,0.1,20,5,0.2,1,1,1,0,50,0.9999999999287985,47500.0,38,38,38,1.0,152,b9818323754f302b,adaptive,adaptive_heuristic_n2,2,5
1,42,423,1423,random,0.38,0.1,20,5,0.2,1,1,1,0,50,0.999999999956011,47500.0,38,38,38,1.0,152,29b11d8a95258daa,adaptive,adaptive_heuristic_n2,2,5
2,42,424,1424,random,0.38,0.1,20,5,0.2,0,0,0,1,0,0.0,500000.0,0,0,0,0.0,152,f9d34edea2999a88,adaptive,adaptive_heuristic_n2,2,5
3,42,425,1425,random,0.38,0.1,20,5,0.2,1,1,1,0,50,0.5624349952643661,47500.0,38,38,38,1.0,152,329a7f8771d777e6,adaptive,adaptive_heuristic_n2,2,5
4,42,426,1426,random,0.38,0.1,20,5,0.2,1,1,1,0,50,0.9999999999506625,55000.0,44,44,44,1.0,152,9c93a78646eb0ab1,adaptive,adaptive_heuristic_n2,2,5
0,42,422,1422,random,0.38,0.1,20,5,0.2,1,1,1,0,50,0.9999999999287985,47500.0,38,38,38,1.0,152,b9818323754f302b,adaptive,adaptive_heuristic_n2,2,5,8900
1,42,423,1423,random,0.38,0.1,20,5,0.2,1,1,1,0,50,0.999999999956011,47500.0,38,38,38,1.0,152,29b11d8a95258daa,adaptive,adaptive_heuristic_n2,2,5,9250
2,42,424,1424,random,0.38,0.1,20,5,0.2,0,0,0,1,0,0.0,500000.0,0,0,0,0.0,152,f9d34edea2999a88,adaptive,adaptive_heuristic_n2,2,5,0
3,42,425,1425,random,0.38,0.1,20,5,0.2,1,1,1,0,50,0.5624349952643661,47500.0,38,38,38,1.0,152,329a7f8771d777e6,adaptive,adaptive_heuristic_n2,2,5,8900
4,42,426,1426,random,0.38,0.1,20,5,0.2,1,1,1,0,50,0.9999999999506625,55000.0,44,44,44,1.0,152,9c93a78646eb0ab1,adaptive,adaptive_heuristic_n2,2,5,8500
0,42,142,1142,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999580906,45000.0,18,100,0,0.0,10,188f7056ba4eb21a,adaptive,adaptive_heuristic_n1,1,3,3701
1,42,143,1143,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999600008,45000.0,18,100,0,0.0,10,ad60f6354bed0a6b,adaptive,adaptive_heuristic_n1,1,3,3850
2,42,144,1144,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999647758,45000.0,18,100,0,0.0,10,1c511bc8c03e9d08,adaptive,adaptive_heuristic_n1,1,3,4000
3,42,145,1145,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999608324,45000.0,18,100,0,0.0,10,16c6d69ae49bc288,adaptive,adaptive_heuristic_n1,1,3,3400
4,42,146,1146,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999417499,45000.0,18,100,0,0.0,10,bf7c05187fa842df,adaptive,adaptive_heuristic_n1,1,3,3650
5,42,147,1147,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999278923,45000.0,18,100,0,0.0,10,dda35abde091eb90,adaptive,adaptive_heuristic_n1,1,3,3900
6,42,148,1148,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999672309,45000.0,18,100,0,0.0,10,6897f63583fe4ed5,adaptive,adaptive_heuristic_n1,1,3,3850
7,42,149,1149,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.3630068239087919,45000.0,18,100,0,0.0,10,2d3c753cedd94f68,adaptive,adaptive_heuristic_n1,1,3,3950
8,42,150,1150,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999661386,45000.0,18,100,0,0.0,10,c872f1298fddb160,adaptive,adaptive_heuristic_n1,1,3,3950
9,42,151,1151,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999734082,45000.0,18,100,0,0.0,10,4d883cb95f5ae7e7,adaptive,adaptive_heuristic_n1,1,3,3600
10,42,152,1152,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999625618,45000.0,18,100,0,0.0,10,93f35be212d2cef8,adaptive,adaptive_heuristic_n1,1,3,3650
11,42,153,1153,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999591578,45000.0,18,100,0,0.0,10,faeec8294571ec51,adaptive,adaptive_heuristic_n1,1,3,3951
12,42,154,1154,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999390784,45000.0,18,100,0,0.0,10,23c669bdf58fb69d,adaptive,adaptive_heuristic_n1,1,3,3651
13,42,155,1155,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999632024,45000.0,18,100,0,0.0,10,635f5e4cc4ec9e79,adaptive,adaptive_heuristic_n1,1,3,3750
14,42,156,1156,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999491768,45000.0,18,100,0,0.0,10,a4816a1c63ca3ec5,adaptive,adaptive_heuristic_n1,1,3,4150
15,42,157,1157,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.3839075593636411,45000.0,18,100,0,0.0,10,6755551fb7f7807a,adaptive,adaptive_heuristic_n1,1,3,3650
16,42,158,1158,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999308601,45000.0,18,100,0,0.0,10,e734ab0083e07483,adaptive,adaptive_heuristic_n1,1,3,4000
17,42,159,1159,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999609814,45000.0,18,100,0,0.0,10,2d77ba0879a63da9,adaptive,adaptive_heuristic_n1,1,3,3550
18,42,160,1160,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999760051,45000.0,18,100,0,0.0,10,e7a719a6b7d3aeae,adaptive,adaptive_heuristic_n1,1,3,3950
19,42,161,1161,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999385698,45000.0,18,100,0,0.0,10,2dbeb663286bc778,adaptive,adaptive_heuristic_n1,1,3,3700
20,42,162,1162,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999448066,45000.0,18,100,0,0.0,10,d175bfcf6eaa915f,adaptive,adaptive_heuristic_n1,1,3,3950
21,42,163,1163,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.99999999997532,45000.0,18,100,0,0.0,10,16e5e40ed72ec300,adaptive,adaptive_heuristic_n1,1,3,3800
22,42,164,1164,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999559104,45000.0,18,100,0,0.0,10,479d96fbf1be6318,adaptive,adaptive_heuristic_n1,1,3,3751
23,42,165,1165,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999496723,45000.0,18,100,0,0.0,10,86be2ae764891f66,adaptive,adaptive_heuristic_n1,1,3,3500
24,42,166,1166,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.37897773935902845,45000.0,18,100,0,0.0,10,0a880d435713e4b0,adaptive,adaptive_heuristic_n1,1,3,3900
25,42,167,1167,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999634104,45000.0,18,100,0,0.0,10,eb0aa752066489b6,adaptive,adaptive_heuristic_n1,1,3,3950
26,42,168,1168,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999693976,45000.0,18,100,0,0.0,10,85a99c0e2da28e9d,adaptive,adaptive_heuristic_n1,1,3,3600
27,42,169,1169,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999576523,45000.0,18,100,0,0.0,10,9b011070aab3abc4,adaptive,adaptive_heuristic_n1,1,3,4100
