weight_scale,sigma,trials,success_rate,avg_steps,avg_rcp,avg_final_conf,R,T,max_steps,mode_variant,n_effective,R_effective
1.0,0.0,3,1.00,11.0,396.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
1.0,0.1,3,1.00,11.0,396.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
1.0,0.2,3,1.00,11.0,396.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
1.0,0.3,3,1.00,11.0,396.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
1.0,0.4,3,1.00,11.0,396.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
1.0,0.5,3,1.00,11.0,396.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
1.0,0.6,3,1.00,10.7,384.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
1.0,0.7,3,1.00,11.0,396.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
1.0,0.8,3,1.00,10.7,384.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
1.0,0.9,3,1.00,11.0,396.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
1.0,1.0,3,1.00,11.0,396.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
1.0,1.1,3,1.00,11.3,408.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
1.0,1.2,3,1.00,11.7,420.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
1.0,1.3,3,1.00,16.7,600.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
1.0,1.4,3,1.00,10.3,372.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
1.0,1.5,3,1.00,12.7,456.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
1.0,1.6,3,1.00,15.3,552.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
1.0,1.7,3,1.00,18.7,672.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
1.0,1.8,3,1.00,12.7,456.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
1.0,1.9,3,1.00,17.0,612.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
1.0,2.0,3,1.00,14.7,528.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
0.5,0.0,3,1.00,11.0,396.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
0.5,0.1,3,1.00,11.0,396.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
0.5,0.2,3,1.00,11.0,396.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
0.5,0.3,3,1.00,11.0,396.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
0.5,0.4,3,1.00,13.0,468.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
0.5,0.5,3,1.00,10.7,384.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
0.5,0.6,3,1.00,11.3,408.0,0.998,3,0.2,50,adaptive_heuristic_n1,1,3
0.5,0.7,3,1.00,15.0,540.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
0.5,0.8,3,1.00,18.7,672.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
0.5,0.9,3,1.00,19.0,684.0,0.995,3,0.2,50,adaptive_heuristic_n1,1,3
0.5,1.0,3,1.00,22.0,792.0,0.999,3,0.2,50,adaptive_heuristic_n1,1,3
0.5,1.1,3,0.67,44.7,1608.0,0.915,3,0.2,50,adaptive_heuristic_n1,1,3
0.5,1.2,3,0.67,30.7,1104.0,0.891,3,0.2,50,adaptive_heuristic_n1,1,3
0.5,1.3,3,0.67,42.7,1536.0,0.945,3,0.2,50,adaptive_heuristic_n1,1,3
0.5,1.4,3,0.67,39.7,1428.0,0.845,3,0.2,50,adaptive_heuristic_n1,1,3
0.5,1.5,3,0.67,44.0,1584.0,0.886,3,0.2,50,adaptive_heuristic_n1,1,3
0.5,1.6,3,1.00,36.0,1296.0,0.975,3,0.2,50,adaptive_heuristic_n1,1,3
0.5,1.7,3,0.67,47.7,1716.0,0.837,3,0.2,50,adaptive_heuristic_n1,1,3
0.5,1.8,3,0.67,50.0,1800.0,0.938,3,0.2,50,adaptive_heuristic_n1,1,3
0.5,1.9,3,0.67,50.0,1800.0,0.874,3,0.2,50,adaptive_heuristic_n1,1,3
0.5,2.0,3,0.67,50.0,1800.0,0.793,3,0.2,50,adaptive_heuristic_n1,1,3
0.2,0.0,3,1.00,11.7,420.0,0.986,3,0.2,50,adaptive_heuristic_n1,1,3
0.2,0.1,3,1.00,37.3,1344.0,0.985,3,0.2,50,adaptive_heuristic_n1,1,3
0.2,0.2,3,1.00,46.7,1680.0,0.981,3,0.2,50,adaptive_heuristic_n1,1,3
0.2,0.3,3,0.67,50.0,1800.0,0.854,3,0.2,50,adaptive_heuristic_n1,1,3
0.2,0.4,3,0.67,50.0,1800.0,0.932,3,0.2,50,adaptive_heuristic_n1,1,3
0.2,0.5,3,0.67,38.0,1368.0,0.934,3,0.2,50,adaptive_heuristic_n1,1,3
0.2,0.6,3,0.67,50.0,1800.0,0.902,3,0.2,50,adaptive_heuristic_n1,1,3
0.2,0.7,3,0.33,50.0,1800.0,0.729,3,0.2,50,adaptive_heuristic_n1,1,3
0.2,0.8,3,0.00,50.0,1800.0,0.630,3,0.2,50,adaptive_heuristic_n1,1,3
0.2,0.9,3,0.33,50.0,1800.0,0.671,3,0.2,50,adaptive_heuristic_n1,1,3
0.2,1.0,3,0.00,50.0,1800.0,0.640,3,0.2,50,adaptive_heuristic_n1,1,3
0.2,1.1,3,0.00,50.0,1800.0,0.542,3,0.2,50,adaptive_heuristic_n1,1,3
0.2,1.2,3,0.33,50.0,1800.0,0.755,3,0.2,50,adaptive_heuristic_n1,1,3
0.2,1.3,3,0.00,50.0,1800.0,0.662,3,0.2,50,adaptive_heuristic_n1,1,3
0.2,1.4,3,0.33,50.0,1800.0,0.829,3,0.2,50,adaptive_heuristic_n1,1,3
0.2,1.5,3,0.33,50.0,1800.0,0.729,3,0.2,50,adaptive_heuristic_n1,1,3
0.2,1.6,3,0.00,50.0,1800.0,0.590,3,0.2,50,adaptive_heuristic_n1,1,3
0.2,1.7,3,0.00,50.0,1800.0,0.519,3,0.2,50,adaptive_heuristic_n1,1,3
0.2,1.8,3,0.00,50.0,1800.0,0.521,3,0.2,50,adaptive_heuristic_n1,1,3
0.2,1.9,3,0.00,50.0,1800.0,0.687,3,0.2,50,adaptive_heuristic_n1,1,3
0.2,2.0,3,0.00,50.0,1800.0,0.579,3,0.2,50,adaptive_heuristic_n1,1,3
0.1,0.0,3,0.00,12.0,432.0,0.858,3,0.2,50,adaptive_heuristic_n1,1,3
0.1,0.1,3,0.33,50.0,1800.0,0.863,3,0.2,50,adaptive_heuristic_n1,1,3
0.1,0.2,3,0.00,50.0,1800.0,0.705,3,0.2,50,adaptive_heuristic_n1,1,3
0.1,0.3,3,0.00,50.0,1800.0,0.627,3,0.2,50,adaptive_heuristic_n1,1,3
0.1,0.4,3,0.00,50.0,1800.0,0.656,3,0.2,50,adaptive_heuristic_n1,1,3
0.1,0.5,3,0.33,50.0,1800.0,0.750,3,0.2,50,adaptive_heuristic_n1,1,3
0.1,0.6,3,0.33,50.0,1800.0,0.822,3,0.2,50,adaptive_heuristic_n1,1,3
0.1,0.7,3,0.00,50.0,1800.0,0.701,3,0.2,50,adaptive_heuristic_n1,1,3
0.1,0.8,3,0.00,50.0,1800.0,0.575,3,0.2,50,adaptive_heuristic_n1,1,3
0.1,0.9,3,0.00,50.0,1800.0,0.722,3,0.2,50,adaptive_heuristic_n1,1,3
0.1,1.0,3,0.00,50.0,1800.0,0.775,3,0.2,50,adaptive_heuristic_n1,1,3
0.1,1.1,3,0.00,50.0,1800.0,0.613,3,0.2,50,adaptive_heuristic_n1,1,3
0.1,1.2,3,0.00,50.0,1800.0,0.651,3,0.2,50,adaptive_heuristic_n1,1,3
0.1,1.3,3,0.00,50.0,1800.0,0.560,3,0.2,50,adaptive_heuristic_n1,1,3
0.1,1.4,3,0.00,50.0,1800.0,0.731,3,0.2,50,adaptive_heuristic_n1,1,3
0.1,1.5,3,0.00,50.0,1800.0,0.557,3,0.2,50,adaptive_heuristic_n1,1,3
0.1,1.6,3,0.00,50.0,1800.0,0.621,3,0.2,50,adaptive_heuristic_n1,1,3
0.1,1.7,3,0.00,50.0,1800.0,0.542,3,0.2,50,adaptive_heuristic_n1,1,3
0.1,1.8,3,0.00,50.0,1800.0,0.594,3,0.2,50,adaptive_heuristic_n1,1,3
0.1,1.9,3,0.00,50.0,1800.0,0.544,3,0.2,50,adaptive_heuristic_n1,1,3
0.1,2.0,3,0.00,50.0,1800.0,0.736,3,0.2,50,adaptive_heuristic_n1,1,3
0.05,0.0,3,0.00,12.0,432.0,0.635,3,0.2,50,adaptive_heuristic_n1,1,3
0.05,0.1,3,0.00,50.0,1800.0,0.633,3,0.2,50,adaptive_heuristic_n1,1,3
0.05,0.2,3,0.00,50.0,1800.0,0.491,3,0.2,50,adaptive_heuristic_n1,1,3
0.05,0.3,3,0.00,50.0,1800.0,0.624,3,0.2,50,adaptive_heuristic_n1,1,3
0.05,0.4,3,0.00,50.0,1800.0,0.487,3,0.2,50,adaptive_heuristic_n1,1,3
0.05,0.5,3,0.00,50.0,1800.0,0.732,3,0.2,50,adaptive_heuristic_n1,1,3
0.05,0.6,3,0.00,50.0,1800.0,0.567,3,0.2,50,adaptive_heuristic_n1,1,3
0.05,0.7,3,0.00,50.0,1800.0,0.541,3,0.2,50,adaptive_heuristic_n1,1,3
0.05,0.8,3,0.00,50.0,1800.0,0.591,3,0.2,50,adaptive_heuristic_n1,1,3
0.05,0.9,3,0.00,50.0,1800.0,0.481,3,0.2,50,adaptive_heuristic_n1,1,3
0.05,1.0,3,0.00,50.0,1800.0,0.669,3,0.2,50,adaptive_heuristic_n1,1,3
0.05,1.1,3,0.00,50.0,1800.0,0.665,3,0.2,50,adaptive_heuristic_n1,1,3
