trial,base_seed,map_seed,noise_seed,layout,obstacle_density,sigma,grid,R,T,success,feasible,path_exists,penalty_used,steps,final_confidence,rcp,optimal_dist,active_cells,path_len,detour_ratio,n_obstacles,map_hash,mode,mode_variant,n_effective,R_effective
0,42,422,1422,random,0.38,0.1,20,2,0.2,0,1,1,0,1,1.0,1600.0,38,400,0,0.0,152,b9818323754f302b,binary,binary_strict_R2,1,2
1,42,423,1423,random,0.38,0.1,20,2,0.2,0,1,1,0,1,1.0,1600.0,38,400,0,0.0,152,29b11d8a95258daa,binary,binary_strict_R2,1,2
2,42,424,1424,random,0.38,0.1,20,2,0.2,0,0,0,1,0,0.0,80000.0,0,0,0,0.0,152,f9d34edea2999a88,binary,binary_strict_R2,1,2
3,42,425,1425,random,0.38,0.1,20,2,0.2,0,1,1,0,1,1.0,1600.0,38,400,0,0.0,152,329a7f8771d777e6,binary,binary_strict_R2,1,2
4,42,426,1426,random,0.38,0.1,20,2,0.2,0,1,1,0,1,1.0,1600.0,44,400,0,0.0,152,9c93a78646eb0ab1,binary,binary_strict_R2,1,2
0,42,422,1422,random,0.38,0.1,20,5,0.2,1,1,1,0,38,1.0,36100.0,38,38,38,1.0,152,b9818323754f302b,binary,binary_quantized,2,5,0
1,42,423,1423,random,0.38,0.1,20,5,0.2,1,1,1,0,38,1.0,36100.0,38,38,38,1.0,152,29b11d8a95258daa,binary,binary_quantized,2,5,0
2,42,424,1424,random,0.38,0.1,20,5,0.2,0,0,0,1,0,0.0,500000.0,0,0,0,0.0,152,f9d34edea2999a88,binary,binary_quantized,2,5,0
3,42,425,1425,random,0.38,0.1,20,5,0.2,1,1,1,0,38,1.0,36100.0,38,38,38,1.0,152,329a7f8771d777e6,binary,binary_quantized,2,5,0
4,42,426,1426,random,0.38,0.1,20,5,0.2,1,1,1,0,44,1.0,48400.0,44,44,44,1.0,152,9c93a78646eb0ab1,binary,binary_quantized,2,5,0
0,42,142,1142,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,188f7056ba4eb21a,binary,binary_quantized,2,5,0
1,42,143,1143,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,ad60f6354bed0a6b,binary,binary_quantized,2,5,0
2,42,144,1144,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,1c511bc8c03e9d08,binary,binary_quantized,2,5,0
3,42,145,1145,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,16c6d69ae49bc288,binary,binary_quantized,2,5,0
4,42,146,1146,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,bf7c05187fa842df,binary,binary_quantized,2,5,0
5,42,147,1147,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,dda35abde091eb90,binary,binary_quantized,2,5,0
6,42,148,1148,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,6897f63583fe4ed5,binary,binary_quantized,2,5,0
7,42,149,1149,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,2d3c753cedd94f68,binary,binary_quantized,2,5,0
8,42,150,1150,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,c872f1298fddb160,binary,binary_quantized,2,5,0
9,42,151,1151,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,4d883cb95f5ae7e7,binary,binary_quantized,2,5,0
