weight_scale,sigma,R_effective,mode,mode_variant,n_effective,phase_label,success_rate,avg_rcp
1.0,0.0,2,binary,binary_strict_R2,1,fail,0.00,16.0
1.0,0.1,2,binary,binary_strict_R2,1,fail,0.00,16.0
1.0,0.2,2,binary,binary_strict_R2,1,fail,0.00,16.0
1.0,0.3,2,binary,binary_strict_R2,1,fail,0.00,16.0
1.0,0.4,2,binary,binary_strict_R2,1,fail,0.00,16.0
1.0,0.5,2,binary,binary_strict_R2,1,fail,0.00,16.0
1.0,0.6,2,binary,binary_strict_R2,1,fail,0.00,16.0
1.0,0.7,2,binary,binary_strict_R2,1,fail,0.00,16.0
1.0,0.8,2,binary,binary_strict_R2,1,fail,0.00,16.0
1.0,0.9,2,binary,binary_strict_R2,1,fail,0.00,16.0
1.0,1.0,2,binary,binary_strict_R2,1,fail,0.00,16.0
1.0,1.1,2,binary,binary_strict_R2,1,fail,0.00,16.0
1.0,1.2,2,binary,binary_strict_R2,1,fail,0.00,16.0
1.0,1.3,2,binary,binary_strict_R2,1,fail,0.00,16.0
1.0,1.4,2,binary,binary_strict_R2,1,fail,0.00,16.0
1.0,1.5,2,binary,binary_strict_R2,1,fail,0.00,16.0
1.0,1.6,2,binary,binary_strict_R2,1,fail,0.00,16.0
1.0,1.7,2,binary,binary_strict_R2,1,fail,0.00,16.0
1.0,1.8,2,binary,binary_strict_R2,1,fail,0.00,16.0
1.0,1.9,2,binary,binary_strict_R2,1,fail,0.00,16.0
1.0,2.0,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.5,0.0,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.5,0.1,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.5,0.2,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.5,0.3,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.5,0.4,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.5,0.5,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.5,0.6,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.5,0.7,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.5,0.8,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.5,0.9,2,binary,binary_strict_R2,1,fail,0.00,16.0
