trial,trial_seed,H,success,epochs,final_mse,inference_rcp,active_cells,R,population,elite_k,restarts,allow_direct_ab_to_y,best_search_mse,best_acc,max_epochs,mode,mode_variant,n_effective,R_effective
0,42,0,0,300,0.5000,12.00,3,2,2,1,1,True,0.5000,0.75,300,binary,binary_quantized,1,2
1,43,0,1,10,0.0000,12.00,3,2,2,1,1,True,0.0000,0.75,300,binary,binary_quantized,1,2
2,44,0,1,150,0.0000,12.00,3,2,2,1,1,True,0.0000,0.50,300,binary,binary_quantized,1,2
0,1042,1,1,3,0.0000,16.00,4,2,2,1,1,True,0.0000,0.50,300,binary,binary_quantized,1,2
1,1043,1,0,300,1.0000,16.00,4,2,2,1,1,True,1.0000,0.50,300,binary,binary_quantized,1,2
2,1044,1,1,116,0.0000,16.00,4,2,2,1,1,True,0.0000,0.25,300,binary,binary_quantized,1,2
0,2042,2,1,43,0.0000,20.00,5,2,2,1,1,True,0.0000,0.50,300,binary,binary_quantized,1,2
1,2043,2,1,31,0.0000,20.00,5,2,2,1,1,True,0.0000,0.50,300,binary,binary_quantized,1,2
2,2044,2,1,3,0.0000,20.00,5,2,2,1,1,True,0.0000,0.75,300,binary,binary_quantized,1,2
0,4042,4,1,79,0.0000,28.00,7,2,2,1,1,True,0.0000,0.50,300,binary,binary_quantized,1,2
1,4043,4,1,31,0.0000,28.00,7,2,2,1,1,True,0.0000,0.50,300,binary,binary_quantized,1,2
2,4044,4,1,225,0.0000,28.00,7,2,2,1,1,True,0.0000,0.25,300,binary,binary_quantized,1,2
0,42,0,0,300,0.5000,12.00,3,2,2,1,1,True,0.5000,0.75,300,binary,binary_quantized,1,2
1,43,0,1,10,0.0000,12.00,3,2,2,1,1,True,0.0000,0.75,300,binary,binary_quantized,1,2
2,44,0,1,150,0.0000,12.00,3,2,2,1,1,True,0.0000,0.50,300,binary,binary_quantized,1,2
0,1042,1,1,3,0.0000,16.00,4,2,2,1,1,True,0.0000,0.50,300,binary,binary_quantized,1,2
1,1043,1,0,300,1.0000,16.00,4,2,2,1,1,True,1.0000,0.50,300,binary,binary_quantized,1,2
2,1044,1,1,116,0.0000,16.00,4,2,2,1,1,True,0.0000,0.25,300,binary,binary_quantized,1,2
0,2042,2,1,43,0.0000,20.00,5,2,2,1,1,True,0.0000,0.50,300,binary,binary_quantized,1,2
1,2043,2,1,31,0.0000,20.00,5,2,2,1,1,True,0.0000,0.50,300,binary,binary_quantized,1,2
2,2044,2,1,3,0.0000,20.00,5,2,2,1,1,True,0.0000,0.75,300,binary,binary_quantized,1,2
0,4042,4,1,79,0.0000,28.00,7,2,2,1,1,True,0.0000,0.50,300,binary,binary_quantized,1,2
1,4043,4,1,31,0.0000,28.00,7,2,2,1,1,True,0.0000,0.50,300,binary,binary_quantized,1,2
2,4044,4,1,225,0.0000,28.00,7,2,2,1,1,True,0.0000,0.25,300,binary,binary_quantized,1,2
