trial,trial_seed,H,success,epochs,final_mse,inference_rcp,active_cells,R,population,elite_k,restarts,allow_direct_ab_to_y,best_search_mse,best_acc,max_epochs,mode,mode_variant,n_effective,R_effective
0,42,0,1,2,0.0000,12.00,3,2,8,2,5,True,0.0000,0.00,500,binary,binary_quantized,1,2
1,43,0,1,78,0.0000,12.00,3,2,8,2,5,True,0.0000,0.75,500,binary,binary_quantized,1,2
2,44,0,1,4,0.0000,12.00,3,2,8,2,5,True,0.0000,0.50,500,binary,binary_quantized,1,2
3,45,0,1,14,0.0000,12.00,3,2,8,2,5,True,0.0000,0.50,500,binary,binary_quantized,1,2
4,46,0,1,68,0.0000,12.00,3,2,8,2,5,True,0.0000,0.50,500,binary,binary_quantized,1,2
5,47,0,1,280,0.0000,12.00,3,2,8,2,5,True,0.0000,0.25,500,binary,binary_quantized,1,2
6,48,0,1,16,0.0000,12.00,3,2,8,2,5,True,0.0000,0.75,500,binary,binary_quantized,1,2
7,49,0,1,29,0.0000,12.00,3,2,8,2,5,True,0.0000,1.00,500,binary,binary_quantized,1,2
8,50,0,1,113,0.0000,12.00,3,2,8,2,5,True,0.0000,0.50,500,binary,binary_quantized,1,2
9,51,0,1,2,0.0000,12.00,3,2,8,2,5,True,0.0000,0.50,500,binary,binary_quantized,1,2
10,52,0,1,20,0.0000,12.00,3,2,8,2,5,True,0.0000,0.50,500,binary,binary_quantized,1,2
11,53,0,1,31,0.0000,12.00,3,2,8,2,5,True,0.0000,0.50,500,binary,binary_quantized,1,2
12,54,0,1,40,0.0000,12.00,3,2,8,2,5,True,0.0000,0.50,500,binary,binary_quantized,1,2
13,55,0,1,23,0.0000,12.00,3,2,8,2,5,True,0.0000,0.50,500,binary,binary_quantized,1,2
14,56,0,1,22,0.0000,12.00,3,2,8,2,5,True,0.0000,0.25,500,binary,binary_quantized,1,2
15,57,0,1,5,0.0000,12.00,3,2,8,2,5,True,0.0000,0.50,500,binary,binary_quantized,1,2
16,58,0,1,15,0.0000,12.00,3,2,8,2,5,True,0.0000,0.50,500,binary,binary_quantized,1,2
17,59,0,1,2,0.0000,12.00,3,2,8,2,5,True,0.0000,0.50,500,binary,binary_quantized,1,2
18,60,0,1,27,0.0000,12.00,3,2,8,2,5,True,0.0000,0.50,500,binary,binary_quantized,1,2
19,61,0,1,23,0.0000,12.00,3,2,8,2,5,True,0.0000,0.50,500,binary,binary_quantized,1,2
0,1042,1,1,16,0.0000,16.00,4,2,8,2,5,True,0.0000,0.50,500,binary,binary_quantized,1,2
1,1043,1,1,9,0.0000,16.00,4,2,8,2,5,True,0.0000,0.50,500,binary,binary_quantized,1,2
2,1044,1,1,24,0.0000,16.00,4,2,8,2,5,True,0.0000,0.75,500,binary,binary_quantized,1,2
3,1045,1,1,18,0.0000,16.00,4,2,8,2,5,True,0.0000,0.75,500,binary,binary_quantized,1,2
4,1046,1,1,103,0.0000,16.00,4,2,8,2,5,True,0.0000,0.50,500,binary,binary_quantized,1,2
5,1047,1,1,23,0.0000,16.00,4,2,8,2,5,True,0.0000,0.50,500,binary,binary_quantized,1,2
6,1048,1,1,30,0.0000,16.00,4,2,8,2,5,True,0.0000,0.50,500,binary,binary_quantized,1,2
7,1049,1,1,35,0.0000,16.00,4,2,8,2,5,True,0.0000,1.00,500,binary,binary_quantized,1,2
8,1050,1,1,44,0.0000,16.00,4,2,8,2,5,True,0.0000,0.25,500,binary,binary_quantized,1,2
9,1051,1,1,7,0.0000,16.00,4,2,8,2,5,True,0.0000,0.50,500,binary,binary_quantized,1,2
10,1052,1,1,10,0.0000,16.00,4,2,8,2,5,True,0.0000,0.75,500,binary,binary_quantized,1,2
