trial,trial_seed,sigma,snr,success,steps,final_confidence,rcp,active_cells,weight_scale,R,T,max_steps,mode,mode_variant,n_effective,R_effective
0,42,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,43,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,44,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,142,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,143,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,144,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,242,0.2,5.00,1,11,0.9993,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,243,0.2,5.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,244,0.2,5.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,342,0.3,3.33,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,343,0.3,3.33,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,344,0.3,3.33,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,442,0.4,2.50,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,443,0.4,2.50,1,11,0.9995,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,444,0.4,2.50,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,542,0.5,2.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,543,0.5,2.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,544,0.5,2.00,1,10,0.9990,360.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,642,0.6,1.67,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,643,0.6,1.67,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,644,0.6,1.67,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,742,0.7,1.43,1,10,0.9991,360.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,743,0.7,1.43,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,744,0.7,1.43,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,842,0.8,1.25,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,843,0.8,1.25,1,10,0.9992,360.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,844,0.8,1.25,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,942,0.9,1.11,1,12,0.9993,432.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,943,0.9,1.11,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,944,0.9,1.11,1,10,0.9991,360.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,1042,1.0,1.00,1,10,0.9990,360.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,1043,1.0,1.00,1,14,0.9994,504.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,1044,1.0,1.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,1142,1.1,0.91,1,12,0.9991,432.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,1143,1.1,0.91,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,1144,1.1,0.91,1,18,0.9994,648.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,1242,1.2,0.83,1,12,0.9990,432.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,1243,1.2,0.83,1,11,0.9993,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,1244,1.2,0.83,1,12,0.9993,432.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,1342,1.3,0.77,1,24,0.9995,864.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,1343,1.3,0.77,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,1344,1.3,0.77,1,12,0.9991,432.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,1442,1.4,0.71,1,12,0.9991,432.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,1443,1.4,0.71,1,12,0.9990,432.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,1444,1.4,0.71,1,11,0.9986,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,1542,1.5,0.67,1,23,0.9995,828.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,1543,1.5,0.67,1,19,0.9991,684.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,1544,1.5,0.67,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,1642,1.6,0.62,1,14,0.9994,504.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,1643,1.6,0.62,1,11,0.9990,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,1644,1.6,0.62,1,25,0.9995,900.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,1742,1.7,0.59,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,1743,1.7,0.59,1,12,0.9994,432.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,1744,1.7,0.59,1,12,0.9994,432.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,1842,1.8,0.56,1,33,0.9993,1188.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,1843,1.8,0.56,1,20,0.9994,720.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,1844,1.8,0.56,1,37,0.9991,1332.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,1942,1.9,0.53,1,16,0.9993,576.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,1943,1.9,0.53,1,30,0.9990,1080.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,1944,1.9,0.53,1,27,0.9980,972.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,2042,2.0,0.50,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,2043,2.0,0.50,1,10,0.9992,360.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,2044,2.0,0.50,1,27,0.9994,972.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,42,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,43,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,44,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,142,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,143,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,144,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,242,0.2,5.00,1,11,0.9993,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,243,0.2,5.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,244,0.2,5.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,342,0.3,3.33,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,343,0.3,3.33,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,344,0.3,3.33,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,442,0.4,2.50,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
