trial,trial_seed,H,success,epochs,final_mse,inference_rcp,active_cells,R,population,elite_k,restarts,allow_direct_ab_to_y,best_search_mse,best_acc,max_epochs,mode,mode_variant,n_effective,R_effective
0,42,0,0,300,0.4990,111.00,3,2,2,1,1,True,0.4990,0.75,300,wbit,wbit,1,2
1,43,0,0,300,0.4990,111.00,3,2,2,1,1,True,0.4990,0.75,300,wbit,wbit,1,2
2,44,0,0,300,0.4990,108.00,3,2,2,1,1,True,0.4990,0.75,300,wbit,wbit,1,2
0,1042,1,0,300,0.4990,168.00,4,2,2,1,1,True,0.4990,0.75,300,wbit,wbit,1,2
1,1043,1,1,68,0.0098,180.00,4,2,2,1,1,True,0.0098,1.00,300,wbit,wbit,1,2
2,1044,1,0,300,0.4990,172.00,4,2,2,1,1,True,0.4990,0.75,300,wbit,wbit,1,2
0,2042,2,0,300,0.4990,205.00,5,2,2,1,1,True,0.4990,0.75,300,wbit,wbit,1,2
1,2043,2,1,48,0.0080,230.00,5,2,2,1,1,True,0.0080,1.00,300,wbit,wbit,1,2
2,2044,2,1,71,0.0143,265.00,5,2,2,1,1,True,0.0143,1.00,300,wbit,wbit,1,2
0,4042,4,1,282,0.0007,357.00,7,2,2,1,1,True,0.0007,1.00,300,wbit,wbit,1,2
1,4043,4,1,234,0.0009,322.00,7,2,2,1,1,True,0.0009,1.00,300,wbit,wbit,1,2
2,4044,4,0,300,0.4990,308.00,7,2,2,1,1,True,0.4990,0.75,300,wbit,wbit,1,2
0,42,0,0,300,0.4990,111.00,3,2,2,1,1,True,0.4990,0.75,300,wbit,wbit,1,2
1,43,0,0,300,0.4990,111.00,3,2,2,1,1,True,0.4990,0.75,300,wbit,wbit,1,2
2,44,0,0,300,0.4990,108.00,3,2,2,1,1,True,0.4990,0.75,300,wbit,wbit,1,2
0,1042,1,0,300,0.4990,168.00,4,2,2,1,1,True,0.4990,0.75,300,wbit,wbit,1,2
1,1043,1,1,68,0.0098,180.00,4,2,2,1,1,True,0.0098,1.00,300,wbit,wbit,1,2
2,1044,1,0,300,0.4990,172.00,4,2,2,1,1,True,0.4990,0.75,300,wbit,wbit,1,2
0,2042,2,0,300,0.4990,205.00,5,2,2,1,1,True,0.4990,0.75,300,wbit,wbit,1,2
1,2043,2,1,48,0.0080,230.00,5,2,2,1,1,True,0.0080,1.00,300,wbit,wbit,1,2
2,2044,2,1,71,0.0143,265.00,5,2,2,1,1,True,0.0143,1.00,300,wbit,wbit,1,2
0,4042,4,1,282,0.0007,357.00,7,2,2,1,1,True,0.0007,1.00,300,wbit,wbit,1,2
1,4043,4,1,234,0.0009,322.00,7,2,2,1,1,True,0.0009,1.00,300,wbit,wbit,1,2
2,4044,4,0,300,0.4990,308.00,7,2,2,1,1,True,0.4990,0.75,300,wbit,wbit,1,2
