trial,trial_seed,layout,obstacle_density,success,steps,final_confidence,rcp,optimal_dist,active_cells,path_len,detour_ratio,n_obstacles,path_exists,feasible,penalty_used,sigma,R,T,grid
0,342,random,0.3,1,50,1.0000,22500.00,18,18,18,1.00,30,1,1,0,0.1,5,0.2,10
1,343,random,0.3,1,50,1.0000,22500.00,18,18,18,1.00,30,1,1,0,0.1,5,0.2,10
2,344,random,0.3,1,50,0.5556,22500.00,18,18,18,1.00,30,1,1,0,0.1,5,0.2,10
3,345,random,0.3,1,50,1.0000,22500.00,18,18,18,1.00,30,1,1,0,0.1,5,0.2,10
4,346,random,0.3,1,50,1.0000,22500.00,18,18,18,1.00,30,1,1,0,0.1,5,0.2,10
5,347,random,0.3,1,50,1.0000,22500.00,18,18,18,1.00,30,1,1,0,0.1,5,0.2,10
6,348,random,0.3,1,50,1.0000,22500.00,18,18,18,1.00,30,1,1,0,0.1,5,0.2,10
7,349,random,0.3,1,50,1.0000,22500.00,18,18,18,1.00,30,1,1,0,0.1,5,0.2,10
8,350,random,0.3,1,50,1.0000,25000.00,20,20,20,1.00,30,1,1,0,0.1,5,0.2,10
9,351,random,0.3,1,50,0.5086,22500.00,18,18,18,1.00,30,1,1,0,0.1,5,0.2,10
0,442,random,0.4,1,50,1.0000,22500.00,18,18,18,1.00,40,1,1,0,0.1,5,0.2,10
1,443,random,0.4,1,50,1.0000,22500.00,18,18,18,1.00,40,1,1,0,0.1,5,0.2,10
2,444,random,0.4,0,0,0.0,125000.00,0,0,0,0.0,40,0,0,1,0.1,5,0.2,10
3,445,random,0.4,1,50,0.6282,22500.00,18,18,18,1.00,40,1,1,0,0.1,5,0.2,10
4,446,random,0.4,1,50,1.0000,22500.00,18,18,18,1.00,40,1,1,0,0.1,5,0.2,10
5,447,random,0.4,1,50,1.0000,30000.00,24,24,24,1.00,40,1,1,0,0.1,5,0.2,10
6,448,random,0.4,1,50,1.0000,22500.00,18,18,18,1.00,40,1,1,0,0.1,5,0.2,10
7,449,random,0.4,1,50,1.0000,22500.00,18,18,18,1.00,40,1,1,0,0.1,5,0.2,10
8,450,random,0.4,1,50,1.0000,25000.00,20,20,20,1.00,40,1,1,0,0.1,5,0.2,10
9,451,random,0.4,1,50,1.0000,30000.00,24,24,24,1.00,40,1,1,0,0.1,5,0.2,10
0,1342,random,0.3,1,50,0.6440,22500.00,18,18,18,1.00,30,1,1,0,0.1,5,0.2,10
1,1343,random,0.3,1,50,1.0000,22500.00,18,18,18,1.00,30,1,1,0,0.1,5,0.2,10
2,1344,random,0.3,1,50,1.0000,22500.00,18,18,18,1.00,30,1,1,0,0.1,5,0.2,10
3,1345,random,0.3,1,50,0.6432,22500.00,18,18,18,1.00,30,1,1,0,0.1,5,0.2,10
4,1346,random,0.3,1,50,1.0000,22500.00,18,18,18,1.00,30,1,1,0,0.1,5,0.2,10
5,1347,random,0.3,1,50,1.0000,22500.00,18,18,18,1.00,30,1,1,0,0.1,5,0.2,10
6,1348,random,0.3,1,50,1.0000,22500.00,18,18,18,1.00,30,1,1,0,0.1,5,0.2,10
7,1349,random,0.3,1,50,1.0000,22500.00,18,18,18,1.00,30,1,1,0,0.1,5,0.2,10
8,1350,random,0.3,1,50,1.0000,22500.00,18,18,18,1.00,30,1,1,0,0.1,5,0.2,10
9,1351,random,0.3,1,50,1.0000,22500.00,18,18,18,1.00,30,1,1,0,0.1,5,0.2,10
0,1442,random,0.4,1,50,1.0000,22500.00,18,18,18,1.00,40,1,1,0,0.1,5,0.2,10
1,1443,random,0.4,1,50,1.0000,27500.00,22,22,22,1.00,40,1,1,0,0.1,5,0.2,10
2,1444,random,0.4,1,50,0.6500,22500.00,18,18,18,1.00,40,1,1,0,0.1,5,0.2,10
3,1445,random,0.4,1,50,1.0000,22500.00,18,18,18,1.00,40,1,1,0,0.1,5,0.2,10
4,1446,random,0.4,1,50,1.0000,22500.00,18,18,18,1.00,40,1,1,0,0.1,5,0.2,10
5,1447,random,0.4,1,50,1.0000,22500.00,18,18,18,1.00,40,1,1,0,0.1,5,0.2,10
6,1448,random,0.4,1,50,1.0000,22500.00,18,18,18,1.00,40,1,1,0,0.1,5,0.2,10
7,1449,random,0.4,1,50,1.0000,22500.00,18,18,18,1.00,40,1,1,0,0.1,5,0.2,10
8,1450,random,0.4,1,50,1.0000,22500.00,18,18,18,1.00,40,1,1,0,0.1,5,0.2,10
9,1451,random,0.4,0,0,0.0,125000.00,0,0,0,0.0,40,0,0,1,0.1,5,0.2,10
