trial,trial_seed,sigma,snr,success,steps,final_confidence,rcp,active_cells,weight_scale,R,T
0,42,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2
1,43,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2
2,44,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2
3,45,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2
4,46,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2
5,47,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2
6,48,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2
7,49,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2
8,50,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2
9,51,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2
10,52,0.0,999.00,1,11,0.9993,396.00,4,1.0,3,0.2
11,53,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2
12,54,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2
13,55,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2
14,56,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2
15,57,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2
16,58,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2
17,59,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2
18,60,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2
19,61,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2
0,142,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2
1,143,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2
2,144,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2
3,145,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2
4,146,0.1,10.00,1,11,0.9993,396.00,4,1.0,3,0.2
5,147,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2
6,148,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2
7,149,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2
8,150,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2
9,151,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2
10,152,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2
11,153,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2
12,154,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2
13,155,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2
14,156,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2
15,157,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2
16,158,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2
17,159,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2
18,160,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2
19,161,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2
0,242,0.2,5.00,1,11,0.9993,396.00,4,1.0,3,0.2
1,243,0.2,5.00,1,11,0.9991,396.00,4,1.0,3,0.2
2,244,0.2,5.00,1,11,0.9991,396.00,4,1.0,3,0.2
3,245,0.2,5.00,1,11,0.9991,396.00,4,1.0,3,0.2
4,246,0.2,5.00,1,11,0.9991,396.00,4,1.0,3,0.2
5,247,0.2,5.00,1,11,0.9991,396.00,4,1.0,3,0.2
6,248,0.2,5.00,1,11,0.9991,396.00,4,1.0,3,0.2
7,249,0.2,5.00,1,11,0.9991,396.00,4,1.0,3,0.2
8,250,0.2,5.00,1,11,0.9992,396.00,4,1.0,3,0.2
9,251,0.2,5.00,1,11,0.9991,396.00,4,1.0,3,0.2
10,252,0.2,5.00,1,11,0.9991,396.00,4,1.0,3,0.2
11,253,0.2,5.00,1,11,0.9991,396.00,4,1.0,3,0.2
12,254,0.2,5.00,1,10,0.9991,360.00,4,1.0,3,0.2
13,255,0.2,5.00,1,11,0.9991,396.00,4,1.0,3,0.2
14,256,0.2,5.00,1,11,0.9991,396.00,4,1.0,3,0.2
15,257,0.2,5.00,1,11,0.9991,396.00,4,1.0,3,0.2
16,258,0.2,5.00,1,11,0.9992,396.00,4,1.0,3,0.2
17,259,0.2,5.00,1,11,0.9991,396.00,4,1.0,3,0.2
18,260,0.2,5.00,1,11,0.9991,396.00,4,1.0,3,0.2
19,261,0.2,5.00,1,11,0.9992,396.00,4,1.0,3,0.2
0,342,0.3,3.33,1,11,0.9991,396.00,4,1.0,3,0.2
1,343,0.3,3.33,1,11,0.9991,396.00,4,1.0,3,0.2
2,344,0.3,3.33,1,11,0.9992,396.00,4,1.0,3,0.2
3,345,0.3,3.33,1,11,0.9991,396.00,4,1.0,3,0.2
4,346,0.3,3.33,1,11,0.9991,396.00,4,1.0,3,0.2
5,347,0.3,3.33,1,11,0.9991,396.00,4,1.0,3,0.2
6,348,0.3,3.33,1,11,0.9991,396.00,4,1.0,3,0.2
7,349,0.3,3.33,1,11,0.9991,396.00,4,1.0,3,0.2
8,350,0.3,3.33,1,11,0.9991,396.00,4,1.0,3,0.2
9,351,0.3,3.33,1,11,0.9991,396.00,4,1.0,3,0.2
10,352,0.3,3.33,1,11,0.9992,396.00,4,1.0,3,0.2
11,353,0.3,3.33,1,11,0.9994,396.00,4,1.0,3,0.2
12,354,0.3,3.33,1,11,0.9991,396.00,4,1.0,3,0.2
13,355,0.3,3.33,1,11,0.9991,396.00,4,1.0,3,0.2
14,356,0.3,3.33,1,11,0.9991,396.00,4,1.0,3,0.2
15,357,0.3,3.33,1,11,0.9991,396.00,4,1.0,3,0.2
16,358,0.3,3.33,1,11,0.9991,396.00,4,1.0,3,0.2
17,359,0.3,3.33,1,11,0.9991,396.00,4,1.0,3,0.2
18,360,0.3,3.33,1,11,0.9991,396.00,4,1.0,3,0.2
19,361,0.3,3.33,1,11,0.9991,396.00,4,1.0,3,0.2
