weight_scale,sigma,trials,success_rate,avg_steps,avg_rcp,avg_final_conf,R,T,max_steps
1.0,0.0,5,1.00,11.0,396.0,0.999,3,0.2,50
1.0,0.1,5,1.00,11.0,396.0,0.999,3,0.2,50
1.0,0.2,5,1.00,11.0,396.0,0.999,3,0.2,50
1.0,0.3,5,1.00,10.8,388.8,0.999,3,0.2,50
1.0,0.4,5,1.00,11.0,396.0,0.999,3,0.2,50
1.0,0.5,5,1.00,10.8,388.8,0.999,3,0.2,50
1.0,0.6,5,1.00,11.0,396.0,0.999,3,0.2,50
1.0,0.7,5,1.00,11.2,403.2,0.999,3,0.2,50
1.0,0.8,5,1.00,10.8,388.8,0.999,3,0.2,50
1.0,0.9,5,1.00,10.4,374.4,0.999,3,0.2,50
1.0,1.0,5,1.00,10.8,388.8,0.999,3,0.2,50
1.0,1.1,5,1.00,11.8,424.8,0.999,3,0.2,50
1.0,1.2,5,1.00,11.4,410.4,0.999,3,0.2,50
1.0,1.3,5,1.00,12.2,439.2,0.999,3,0.2,50
1.0,1.4,5,1.00,13.4,482.4,0.999,3,0.2,50
1.0,1.5,5,1.00,13.6,489.6,0.999,3,0.2,50
1.0,1.6,5,1.00,11.8,424.8,0.999,3,0.2,50
1.0,1.7,5,1.00,16.2,583.2,0.999,3,0.2,50
1.0,1.8,5,1.00,28.0,1008.0,0.991,3,0.2,50
1.0,1.9,5,1.00,20.0,720.0,0.999,3,0.2,50
1.0,2.0,5,1.00,15.0,540.0,0.999,3,0.2,50
0.5,0.0,5,1.00,11.0,396.0,0.999,3,0.2,50
0.5,0.1,5,1.00,11.0,396.0,0.999,3,0.2,50
0.5,0.2,5,1.00,11.0,396.0,0.999,3,0.2,50
0.5,0.3,5,1.00,11.2,403.2,0.999,3,0.2,50
0.5,0.4,5,1.00,11.2,403.2,0.999,3,0.2,50
0.5,0.5,5,1.00,11.6,417.6,0.999,3,0.2,50
0.5,0.6,5,1.00,13.4,482.4,0.999,3,0.2,50
0.5,0.7,5,1.00,17.4,626.4,0.999,3,0.2,50
0.5,0.8,5,1.00,17.8,640.8,0.999,3,0.2,50
0.5,0.9,5,1.00,21.8,784.8,0.999,3,0.2,50
0.5,1.0,5,1.00,22.4,806.4,0.999,3,0.2,50
0.5,1.1,5,1.00,35.6,1281.6,0.986,3,0.2,50
0.5,1.2,5,0.80,29.0,1044.0,0.972,3,0.2,50
