experiment,layout,grid,obstacle_density,sigma,weight_scale,H,direct_conn,success_rate,avg_rcp,avg_rcp_success,R,T,avg_conf_success,avg_final_conf,avg_steps,avg_steps_success,conditional_success,feasible_rate,max_steps,mean_best_acc,mean_best_mse,mean_detour_success,mean_path_success,trials
A,random,20,0.38,0.0,,,,,,8887.5,5,0.2,0.8743373065322563,,,9,1.0,0.8,,,,1.0,39.5,5
A,random,20,0.38,0.5,,,,,,49375.0,5,0.2,0.9261378817535586,,,50,1.0,0.8,,,,1.0,39.5,5
A,random,20,0.38,1.0,,,,,,49375.0,5,0.2,0.9583695329383045,,,50,1.0,0.8,,,,1.0,39.5,5
A,random,20,0.38,0.0,,,,,,8887.5,5,0.2,0.8743373065322563,,,9,1.0,0.8,,,,1.0,39.5,5
A,random,20,0.38,0.5,,,,,,49375.0,5,0.2,0.9261378817535586,,,50,1.0,0.8,,,,1.0,39.5,5
A,random,20,0.38,1.0,,,,,,49375.0,5,0.2,0.9583695329383045,,,50,1.0,0.8,,,,1.0,39.5,5
A,random,20,0.38,0.0,,,,,,8887.5,5,0.2,0.8743373065322563,,,9,1.0,0.8,,,,1.0,39.5,5
A,random,20,0.38,0.5,,,,,,49375.0,5,0.2,0.9261378817535586,,,50,1.0,0.8,,,,1.0,39.5,5
A,random,20,0.38,1.0,,,,,,49375.0,5,0.2,0.9583695329383045,,,50,1.0,0.8,,,,1.0,39.5,5
B,,,,0.0,1.0,,,1.00,396.0,,3,0.2,,0.999,11.0,,,,50,,,,,20
B,,,,0.1,1.0,,,1.00,396.0,,3,0.2,,0.999,11.0,,,,50,,,,,20
B,,,,0.2,1.0,,,1.00,396.0,,3,0.2,,0.999,11.0,,,,50,,,,,20
B,,,,0.3,1.0,,,1.00,392.4,,3,0.2,,0.999,10.9,,,,50,,,,,20
B,,,,0.4,1.0,,,1.00,396.0,,3,0.2,,0.999,11.0,,,,50,,,,,20
B,,,,0.5,1.0,,,1.00,388.8,,3,0.2,,0.999,10.8,,,,50,,,,,20
B,,,,0.6,1.0,,,1.00,394.2,,3,0.2,,0.999,10.9,,,,50,,,,,20
B,,,,0.7,1.0,,,1.00,394.2,,3,0.2,,0.999,10.9,,,,50,,,,,20
B,,,,0.8,1.0,,,1.00,390.6,,3,0.2,,0.999,10.8,,,,50,,,,,20
B,,,,0.9,1.0,,,1.00,390.6,,3,0.2,,0.999,10.8,,,,50,,,,,20
B,,,,1.0,1.0,,,1.00,403.2,,3,0.2,,0.999,11.2,,,,50,,,,,20
B,,,,1.1,1.0,,,1.00,417.6,,3,0.2,,0.999,11.6,,,,50,,,,,20
B,,,,1.2,1.0,,,1.00,410.4,,3,0.2,,0.999,11.4,,,,50,,,,,20
B,,,,1.3,1.0,,,1.00,444.6,,3,0.2,,0.999,12.3,,,,50,,,,,20
B,,,,1.4,1.0,,,1.00,468.0,,3,0.2,,0.999,13.0,,,,50,,,,,20
B,,,,1.5,1.0,,,1.00,498.6,,3,0.2,,0.999,13.8,,,,50,,,,,20
B,,,,1.6,1.0,,,1.00,536.4,,3,0.2,,0.999,14.9,,,,50,,,,,20
B,,,,1.7,1.0,,,1.00,525.6,,3,0.2,,0.999,14.6,,,,50,,,,,20
B,,,,1.8,1.0,,,1.00,775.8,,3,0.2,,0.997,21.6,,,,50,,,,,20
B,,,,1.9,1.0,,,1.00,549.0,,3,0.2,,0.999,15.2,,,,50,,,,,20
B,,,,2.0,1.0,,,1.00,651.6,,3,0.2,,0.996,18.1,,,,50,,,,,20
B,,,,0.0,0.5,,,1.00,396.0,,3,0.2,,0.999,11.0,,,,50,,,,,20
B,,,,0.1,0.5,,,1.00,396.0,,3,0.2,,0.999,11.0,,,,50,,,,,20
B,,,,0.2,0.5,,,1.00,397.8,,3,0.2,,0.999,11.1,,,,50,,,,,20
B,,,,0.3,0.5,,,1.00,392.4,,3,0.2,,0.999,10.9,,,,50,,,,,20
B,,,,0.4,0.5,,,1.00,414.0,,3,0.2,,0.999,11.5,,,,50,,,,,20
B,,,,0.5,0.5,,,1.00,417.6,,3,0.2,,0.999,11.6,,,,50,,,,,20
B,,,,0.6,0.5,,,1.00,482.4,,3,0.2,,0.999,13.4,,,,50,,,,,20
B,,,,0.7,0.5,,,1.00,583.2,,3,0.2,,0.999,16.2,,,,50,,,,,20
B,,,,0.8,0.5,,,1.00,624.6,,3,0.2,,0.999,17.4,,,,50,,,,,20
B,,,,0.9,0.5,,,1.00,934.2,,3,0.2,,0.998,25.9,,,,50,,,,,20
B,,,,1.0,0.5,,,0.95,745.2,,3,0.2,,0.974,20.7,,,,50,,,,,20
B,,,,1.1,0.5,,,0.95,1087.2,,3,0.2,,0.982,30.2,,,,50,,,,,20
B,,,,1.2,0.5,,,0.95,1180.8,,3,0.2,,0.987,32.8,,,,50,,,,,20
B,,,,1.3,0.5,,,0.75,1369.8,,3,0.2,,0.911,38.0,,,,50,,,,,20
B,,,,1.4,0.5,,,0.60,1553.4,,3,0.2,,0.857,43.1,,,,50,,,,,20
B,,,,1.5,0.5,,,0.65,1602.0,,3,0.2,,0.902,44.5,,,,50,,,,,20
B,,,,1.6,0.5,,,0.85,1582.2,,3,0.2,,0.913,44.0,,,,50,,,,,20
B,,,,1.7,0.5,,,0.45,1555.2,,3,0.2,,0.853,43.2,,,,50,,,,,20
B,,,,1.8,0.5,,,0.55,1607.4,,3,0.2,,0.878,44.6,,,,50,,,,,20
B,,,,1.9,0.5,,,0.30,1747.8,,3,0.2,,0.787,48.5,,,,50,,,,,20
B,,,,2.0,0.5,,,0.25,1756.8,,3,0.2,,0.768,48.8,,,,50,,,,,20
B,,,,0.0,0.2,,,1.00,430.2,,3,0.2,,0.986,11.9,,,,50,,,,,20
B,,,,0.1,0.2,,,1.00,1040.4,,3,0.2,,0.986,28.9,,,,50,,,,,20
B,,,,0.2,0.2,,,0.95,1521.0,,3,0.2,,0.968,42.2,,,,50,,,,,20
B,,,,0.3,0.2,,,0.85,1657.8,,3,0.2,,0.939,46.0,,,,50,,,,,20
B,,,,0.4,0.2,,,0.75,1670.4,,3,0.2,,0.932,46.4,,,,50,,,,,20
B,,,,0.5,0.2,,,0.55,1731.6,,3,0.2,,0.860,48.1,,,,50,,,,,20
B,,,,0.6,0.2,,,0.45,1800.0,,3,0.2,,0.771,50.0,,,,50,,,,,20
B,,,,0.7,0.2,,,0.40,1800.0,,3,0.2,,0.773,50.0,,,,50,,,,,20
B,,,,0.8,0.2,,,0.25,1800.0,,3,0.2,,0.774,50.0,,,,50,,,,,20
B,,,,0.9,0.2,,,0.15,1800.0,,3,0.2,,0.693,50.0,,,,50,,,,,20
B,,,,1.0,0.2,,,0.10,1800.0,,3,0.2,,0.702,50.0,,,,50,,,,,20
B,,,,1.1,0.2,,,0.20,1800.0,,3,0.2,,0.726,50.0,,,,50,,,,,20
B,,,,1.2,0.2,,,0.15,1800.0,,3,0.2,,0.696,50.0,,,,50,,,,,20
B,,,,1.3,0.2,,,0.00,1800.0,,3,0.2,,0.686,50.0,,,,50,,,,,20
B,,,,1.4,0.2,,,0.00,1800.0,,3,0.2,,0.617,50.0,,,,50,,,,,20
B,,,,1.5,0.2,,,0.10,1800.0,,3,0.2,,0.662,50.0,,,,50,,,,,20
B,,,,1.6,0.2,,,0.10,1800.0,,3,0.2,,0.659,50.0,,,,50,,,,,20
B,,,,1.7,0.2,,,0.05,1800.0,,3,0.2,,0.604,50.0,,,,50,,,,,20
B,,,,1.8,0.2,,,0.00,1800.0,,3,0.2,,0.641,50.0,,,,50,,,,,20
B,,,,1.9,0.2,,,0.05,1800.0,,3,0.2,,0.628,50.0,,,,50,,,,,20
B,,,,2.0,0.2,,,0.05,1800.0,,3,0.2,,0.630,50.0,,,,50,,,,,20
B,,,,0.0,0.1,,,0.00,432.0,,3,0.2,,0.858,12.0,,,,50,,,,,20
B,,,,0.1,0.1,,,0.05,1773.0,,3,0.2,,0.837,49.2,,,,50,,,,,20
B,,,,0.2,0.1,,,0.10,1800.0,,3,0.2,,0.771,50.0,,,,50,,,,,20
B,,,,0.3,0.1,,,0.05,1800.0,,3,0.2,,0.669,50.0,,,,50,,,,,20
B,,,,0.4,0.1,,,0.05,1800.0,,3,0.2,,0.679,50.0,,,,50,,,,,20
B,,,,0.5,0.1,,,0.15,1800.0,,3,0.2,,0.675,50.0,,,,50,,,,,20
B,,,,0.6,0.1,,,0.10,1800.0,,3,0.2,,0.621,50.0,,,,50,,,,,20
B,,,,0.7,0.1,,,0.00,1800.0,,3,0.2,,0.619,50.0,,,,50,,,,,20
B,,,,0.8,0.1,,,0.05,1800.0,,3,0.2,,0.626,50.0,,,,50,,,,,20
B,,,,0.9,0.1,,,0.05,1800.0,,3,0.2,,0.607,50.0,,,,50,,,,,20
B,,,,1.0,0.1,,,0.05,1800.0,,3,0.2,,0.659,50.0,,,,50,,,,,20
B,,,,1.1,0.1,,,0.00,1800.0,,3,0.2,,0.589,50.0,,,,50,,,,,20
B,,,,1.2,0.1,,,0.00,1800.0,,3,0.2,,0.597,50.0,,,,50,,,,,20
B,,,,1.3,0.1,,,0.00,1800.0,,3,0.2,,0.565,50.0,,,,50,,,,,20
B,,,,1.4,0.1,,,0.00,1800.0,,3,0.2,,0.602,50.0,,,,50,,,,,20
B,,,,1.5,0.1,,,0.05,1800.0,,3,0.2,,0.606,50.0,,,,50,,,,,20
B,,,,1.6,0.1,,,0.00,1800.0,,3,0.2,,0.599,50.0,,,,50,,,,,20
