Validator,PT_VERSION,2.9.1
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmStridedBatchedTunableOp_BFloat16_NN,nn_64_128_128_B_192_ld_64_128_64,Gemm_Rocblas_-1140856489,0.0199737
GemmStridedBatchedTunableOp_BFloat16_NN,nn_1536_4096_32_B_3_ld_1536_96_1536,Gemm_Rocblas_-1140856379,0.0642624
GemmStridedBatchedTunableOp_BFloat16_NN,nn_128_1_8_B_4096_ld_524288_32768_1,Default,0.148111
GemmStridedBatchedTunableOp_BFloat16_NN,nn_128_4096_32_B_4_ld_128_128_128,Gemm_Rocblas_-1140856376,0.0168045
GemmStridedBatchedTunableOp_BFloat16_NN,nn_384_1_8_B_4096_ld_1572864_32768_1,Default,0.426175
GemmStridedBatchedTunableOp_BFloat16_NN,nn_128_128_64_B_192_ld_128_64_128,Gemm_Rocblas_-1140856363,0.0237246
GemmStridedBatchedTunableOp_BFloat16_NN,nn_384_4096_32_B_4_ld_384_128_384,Gemm_Rocblas_-1140856368,0.028401
GemmTunableOp_BFloat16_NT,nt_384_384_4096_ld_384_384_384,Gemm_Rocblas_-1140851257,0.0661456
GemmTunableOp_BFloat16_NT,nt_384_4_4096_ld_384_4_384,Gemm_Rocblas_-1140851225,0.0310526
GemmTunableOp_BFloat16_NT,nt_96_384_4096_ld_96_384_96,Gemm_Rocblas_-1140851243,0.0387786
GemmTunableOp_BFloat16_NT,nt_128_384_4096_ld_128_384_128,Gemm_Rocblas_-1140851239,0.0388707
GemmTunableOp_BFloat16_NT,nt_1536_384_4096_ld_1536_384_1536,Gemm_Rocblas_-1140851282,0.146707
GemmTunableOp_BFloat16_NN,nn_384_4096_384_ld_384_384_384,Gemm_Rocblas_-1140856428,0.0330834
GemmTunableOp_BFloat16_NN,nn_384_4096_4_ld_384_4_384,Gemm_Rocblas_-1140856379,0.0154413
GemmTunableOp_BFloat16_NN,nn_1536_4096_384_ld_1536_384_1536,Default,0.0897602
GemmTunableOp_BFloat16_NN,nn_32_4096_1536_ld_32_1536_32,Gemm_Rocblas_-1140856461,0.029147
GemmTunableOp_BFloat16_NN,nn_96_4096_384_ld_96_384_96,Gemm_Rocblas_-1140856474,0.0188713
GemmTunableOp_BFloat16_NN,nn_32_4096_384_ld_32_384_32,Gemm_Rocblas_-1140856453,0.0124789
GemmTunableOp_BFloat16_NN,nn_128_4096_384_ld_128_384_128,Gemm_Rocblas_-1140856496,0.0183573
GemmAndBiasTunableOp_BFloat16_TN,tn_384_4096_1536_ld_1536_1536_384,Default,0.167715
GemmAndBiasTunableOp_BFloat16_TN,tn_384_4096_384_ld_384_384_384,Default,0.0590656
GemmAndBiasTunableOp_BFloat16_TN,tn_4_4096_384_ld_384_384_4,Default,0.0167593
GemmStridedBatchedTunableOp_BFloat16_NT,nt_384_32_4096_B_4_ld_384_128_384,Gemm_Rocblas_-1140851240,0.0388119
GemmStridedBatchedTunableOp_BFloat16_NT,nt_128_64_128_B_192_ld_128_64_128,Gemm_Rocblas_-1140851160,0.0204245
GemmStridedBatchedTunableOp_BFloat16_NT,nt_64_128_128_B_192_ld_64_128_64,Gemm_Rocblas_-1140851159,0.0200781
GemmStridedBatchedTunableOp_BFloat16_NT,nt_128_32_4096_B_4_ld_128_128_128,Default,0.030771
GemmStridedBatchedTunableOp_BFloat16_NT,nt_1536_1_4_B_4096_ld_1536_1_1,Default,0.76699
GemmStridedBatchedTunableOp_BFloat16_NT,nt_384_1_4_B_4096_ld_1572864_1_1,Default,0.234496
GemmStridedBatchedTunableOp_BFloat16_NT,nt_1536_32_4096_B_3_ld_6144_96_1536,Gemm_Rocblas_-1140851235,0.0832885
GemmStridedBatchedTunableOp_BFloat16_NT,nt_128_1_4_B_4096_ld_524288_1_1,Default,0.106656
GemmStridedBatchedTunableOp_BFloat16_TN,tn_32_4096_384_B_4_ld_384_384_32,Gemm_Rocblas_-1140854832,0.0207629
GemmStridedBatchedTunableOp_BFloat16_TN,tn_32_4096_128_B_4_ld_128_128_32,Gemm_Rocblas_-1140854839,0.0123061
GemmStridedBatchedTunableOp_BFloat16_TN,tn_4_128_1_B_4096_ld_1_1_4,Gemm_Rocblas_-17,0.0520704
GemmStridedBatchedTunableOp_BFloat16_TN,tn_128_128_64_B_192_ld_64_64_128,Gemm_Rocblas_-1140854858,0.0230586
